team,attack_strength,defense_weakness,squad_rating,market_win_prob,market_proj_gf,market_proj_ga,market_btts_prob,market_over_25_prob
Mexico,0.475,1.053,75.4,0.714,1.0,0.0,0.421,0.476
South Africa,0.147,1.361,64.8,0.133,0.0,1.0,0.421,0.476
South Korea,0.586,1.046,76.5,0.33,1.0,1.0,0.5,0.5
Czechia,0.561,1.016,77.5,0.357,1.0,1.0,0.513,0.455
Canada,0.466,1.09,75.1,0.556,1.0,0.0,0.488,0.455
Bosnia and Herzegovina,0.419,1.209,76.3,0.231,0.0,1.0,0.488,0.455
Qatar,0.357,1.252,73.0,0.083,0.0,2.0,0.421,0.6
Switzerland,0.664,1.034,79.5,0.818,2.0,0.0,0.421,0.6
Brazil,0.855,0.801,85.2,0.625,1.0,0.0,0.5,0.5
Morocco,0.632,0.831,79.9,0.19,0.0,1.0,0.5,0.5
Haiti,0.302,1.421,64.6,0.174,0.0,1.0,0.488,0.524
Scotland,0.557,1.14,77.4,0.676,1.0,0.0,0.488,0.524
United States,0.643,0.989,79.5,0.33,1.0,1.0,0.5,0.5
Paraguay,0.296,1.18,73.5,0.25,0.0,1.0,0.5,0.435
Australia,0.363,1.161,70.9,0.211,0.0,1.0,0.513,0.5
Turkey,0.69,1.033,80.3,0.33,1.0,1.0,0.5,0.5
Germany,0.936,0.865,85.2,0.971,4.0,0.0,0.333,0.833
Curacao,0.211,1.358,65.3,0.024,0.0,4.0,0.333,0.833
Ivory Coast,0.582,0.935,78.5,0.278,0.0,0.0,0.455,0.364
Ecuador,0.463,0.917,78.3,0.444,0.0,0.0,0.455,0.364
Netherlands,0.844,0.878,83.5,0.513,1.0,1.0,0.556,0.524
Japan,0.669,0.967,77.1,0.286,1.0,1.0,0.556,0.524
Sweden,0.638,1.098,79.1,0.526,1.0,0.0,0.5,0.455
Tunisia,0.336,1.088,72.1,0.244,0.0,1.0,0.5,0.455
Belgium,0.79,0.86,82.9,0.606,1.0,1.0,0.556,0.524
Egypt,0.476,0.976,76.7,0.2,1.0,1.0,0.556,0.524
Iran,0.467,1.137,72.3,0.33,1.0,1.0,0.5,0.5
New Zealand,0.397,1.221,71.0,0.231,0.0,1.0,0.5,0.455
Spain,1.019,0.731,86.2,0.934,3.0,0.0,0.381,0.734
Cape Verde,0.304,1.164,71.9,0.038,0.0,3.0,0.381,0.734
Saudi Arabia,0.305,1.16,73.0,0.154,0.0,1.0,0.488,0.524
Uruguay,0.585,0.902,79.0,0.676,1.0,0.0,0.488,0.524
France,0.918,0.762,86.1,0.693,1.0,0.0,0.5,0.524
Senegal,0.593,0.9,79.4,0.154,0.0,1.0,0.5,0.524
Iraq,0.176,1.33,66.2,0.083,0.0,2.0,0.455,0.637
Norway,0.83,0.954,80.1,0.833,2.0,0.0,0.455,0.637
Argentina,0.879,0.712,83.8,0.714,1.0,0.0,0.455,0.524
Algeria,0.582,0.94,78.1,0.143,0.0,1.0,0.455,0.524
Austria,0.68,0.983,78.5,0.769,2.0,0.0,0.488,0.619
Jordan,0.461,1.157,75.0,0.118,0.0,2.0,0.488,0.619
Portugal,0.97,0.756,85.3,0.8,2.0,0.0,0.455,0.6
DR Congo,0.439,0.98,76.2,0.33,1.0,1.0,0.5,0.5
Uzbekistan,0.475,1.008,75.5,0.133,0.0,1.0,0.476,0.524
Colombia,0.637,0.967,78.2,0.714,1.0,0.0,0.476,0.524
England,0.83,0.774,84.3,0.588,1.0,0.0,0.5,0.476
Croatia,0.625,0.934,81.0,0.211,0.0,1.0,0.5,0.476
Ghana,0.403,1.187,74.5,0.5,1.0,0.0,0.513,0.455
Panama,0.325,1.297,70.4,0.278,0.0,1.0,0.513,0.455
